,revision_id,article_quality,article_title,country,population,region
6216,1247394828,Start,Letitia Sibeko,South Africa,60.7,SOUTHERN AFRICA
1944,1229277170,Stub,Levy Yakete,Central African Republic,6.2,MIDDLE AFRICA
1227,1219057658,Stub,Lew Rywin,Poland,37.7,EASTERN EUROPE
6927,1232134166,Start,Lewis Pérez,Venezuela,28.8,SOUTH AMERICA
4803,1242402305,GA,Lex Delles,Luxembourg,0.7,WESTERN EUROPE
615,1230366514,Start,Leyla Abdullayeva,Azerbaijan,10.2,WESTERN ASIA
1399,1242666773,Stub,Lhatu Wangchuk,Bhutan,0.8,SOUTH ASIA
6584,1213839588,C,Li Huang,Taiwan,23.4,EAST ASIA
1733,1245373615,Start,Lian Hmung Sakhong,Myanmar,55.4,SOUTHEAST ASIA
6907,1242552557,C,Liborio Guarulla,Venezuela,28.8,SOUTH AMERICA
2892,1243862673,C,Liem Koen Hian,Indonesia,278.7,SOUTHEAST ASIA
6857,1239924729,Start,Liliam Kechichián,Uruguay,3.6,SOUTH AMERICA
4649,1022602552,Stub,Lilian Tomitom,Kenya,55.1,EASTERN AFRICA
1990,1218197818,Start,Liliana Jadue,Chile,20.0,SOUTH AMERICA
1194,1245229052,Start,Liliya Moshechkova,Poland,37.7,EASTERN EUROPE
4896,1155435108,C,Lily Eberwein,Malaysia,33.4,SOUTHEAST ASIA
7013,1245511378,Start,Lily Monze,Zambia,20.2,EASTERN AFRICA
6126,1162078233,C,Lim Han Hoe,Singapore,5.8,SOUTHEAST ASIA
2033,1229515337,Start,Lin Shengzhong,China,1411.3,EAST ASIA
6585,1246285698,Stub,Lin Tze-luen,Taiwan,23.4,EAST ASIA
7044,1177290618,C,Linda Masarira,Zimbabwe,16.7,EASTERN AFRICA
6172,1242817853,C,Lindiwe Mabuza,South Africa,60.7,SOUTHERN AFRICA
6829,1234362908,Stub,Linos Ngompek,Uganda,48.6,EASTERN AFRICA
4914,1217527148,Start,Liou Chen Kuang,Malaysia,33.4,SOUTHEAST ASIA
6586,1206475050,C,Liu Yongfu,Taiwan,23.4,EAST ASIA
1100,1193909976,Stub,Liudvikas Narcizas Rasimavičius,Lithuania,2.9,NORTHERN EUROPE
1101,1108537637,Stub,Liudvikas Saulius Razma,Lithuania,2.9,NORTHERN EUROPE
1106,1020199058,Stub,Liudvikas Simutis,Lithuania,2.9,NORTHERN EUROPE
2362,1215345234,Start,Ljiljana Beronja,Serbia,6.6,SOUTHERN EUROPE
2346,1230143347,C,Ljudevit Vukotinović,Croatia,3.8,SOUTHERN EUROPE
1656,1249711549,Stub,Ljupčo Andonovski,North Macedonia,1.8,SOUTHERN EUROPE
1346,1235733819,Start,Lodewijk Verreycken,Belgium,11.8,WESTERN EUROPE
3841,1232662322,Start,Lokam Naga Madhavi,India,1428.6,SOUTH ASIA
1391,1151281659,Start,Loknath Sharma,Bhutan,0.8,SOUTH ASIA
5244,1163661885,Stub,Lola Voronina,Russia,146.9,EASTERN EUROPE
1808,1220226778,Start,Lon Nil,Cambodia,17.0,SOUTHEAST ASIA
1527,1242607162,Start,Londres Machado,Brazil,204.0,SOUTH AMERICA
2349,1244528472,C,Lordan Zafranović,Croatia,3.8,SOUTHERN EUROPE
6855,1225789614,Stub,Lorenzo Antonio Fernández,Uruguay,3.6,SOUTH AMERICA
2091,1164689541,Start,Lorenzo Muelas,Colombia,52.2,SOUTH AMERICA
2016,1235451028,Start,Loreto Silva,Chile,20.0,SOUTH AMERICA
3668,1189706771,Start,Lorimer Denis,Haiti,11.6,CARIBBEAN
460,1218353001,Start,Louay Hussein,Syria,23.2,WESTERN ASIA
4277,1233127381,Stub,Loubo Augustin Djessou,Cote d'Ivoire,30.9,WESTERN AFRICA
3249,1146428534,C,Louis Grégoire Deschamps Destournelles,France,65.9,WESTERN EUROPE
1364,1212917164,C,Louis Hunkanrin,Benin,13.7,WESTERN AFRICA
1365,1192236303,Stub,Louis Ignacio-Pinto,Benin,13.7,WESTERN AFRICA
6094,1093235015,Stub,Louis Jacques Senghor,Senegal,18.3,WESTERN AFRICA
5037,1058307177,Start,Louis Joseph Coralie,Mauritania,4.9,WESTERN AFRICA
3284,1172945590,Stub,Louis Lareng,France,65.9,WESTERN EUROPE
6082,1183769164,Stub,Louis Le Gros,Senegal,18.3,WESTERN AFRICA
5614,1246222636,C,Louis Mbanefo,Nigeria,223.8,WESTERN AFRICA
3308,1153278086,Start,Louis Pailhas,France,65.9,WESTERN EUROPE
3320,1242496790,Start,"Louis Phélypeaux, Marquis of La Vrillière",France,65.9,WESTERN EUROPE
3321,1217063771,Stub,"Louis Phélypeaux, Seigneur of La Vrillière",France,65.9,WESTERN EUROPE
3319,1174304784,Start,"Louis Phélypeaux, comte de Saint-Florentin",France,65.9,WESTERN EUROPE
1347,1058900581,Stub,Louis Waltniel,Belgium,11.8,WESTERN EUROPE
6578,1244812259,GA,Louis Wyrsch,Switzerland,8.8,WESTERN EUROPE
6170,1236638243,Start,Louis le Grange,South Africa,60.7,SOUTHERN AFRICA
1335,1233472654,Start,Louis-Joseph Seutin,Belgium,11.8,WESTERN EUROPE
5555,1221676650,Stub,Love Ezema,Nigeria,223.8,WESTERN AFRICA
7039,1138179170,C,Lovemore Madhuku,Zimbabwe,16.7,EASTERN AFRICA
7047,1105192324,Stub,Lovemore Matombo,Zimbabwe,16.7,EASTERN AFRICA
2034,1183319623,Stub,Lu Feng (politician),China,1411.3,EAST ASIA
1875,1250036285,C,Luang Wichitwathakan,Thailand,66.0,SOUTHEAST ASIA
4075,1197387317,Stub,Luay al-Yassiry,Iraq,45.5,WESTERN ASIA
585,1189600825,Stub,Lubomír Ledl,Czechia,10.9,EASTERN EUROPE
1323,1178923770,C,Luc Michel,Belgium,11.8,WESTERN EUROPE
4118,1248845393,B,Luca Coscioni,Italy,58.8,SOUTHERN EUROPE
2659,1247445090,Stub,Lucia Plaváková,Slovakia,5.4,EASTERN EUROPE
1307,1235711895,Start,Lucienne Herman-Michielsens,Belgium,11.8,WESTERN EUROPE
4122,1215312553,Stub,Lucio D'Ubaldo,Italy,58.8,SOUTHERN EUROPE
383,1210433646,Start,Lucio Victorio Mansilla,Argentina,46.3,SOUTH AMERICA
3657,1242496812,Start,Luckner Cambronne,Haiti,11.6,CARIBBEAN
1887,1221349803,Start,Lucy Gwanmesia,Cameroon,28.1,MIDDLE AFRICA
2070,1245229888,Stub,Lucy Inés García,Colombia,52.2,SOUTH AMERICA
4182,1200149359,Start,Ludovico Nogarola,Italy,58.8,SOUTHERN EUROPE
4273,1215540371,Start,Ludvik Toplak,Slovenia,2.1,SOUTHERN EUROPE
3466,1062661561,Stub,Ludwig Georg Winter,Germany,84.9,WESTERN EUROPE
3392,1226116184,C,Ludwig Hassenpflug,Germany,84.9,WESTERN EUROPE
6550,1240133847,Start,Ludwig Pfyffer,Switzerland,8.8,WESTERN EUROPE
3418,1239513332,Stub,Ludwig von Lützow (politician),Germany,84.9,WESTERN EUROPE
2181,1180021058,Start,Lugi Gizenga,Congo DR,102.3,MIDDLE AFRICA
6388,1171543658,GA,Luigi Adwok,Sudan,48.1,NORTHERN AFRICA
4101,1226018161,Stub,Luigi Bossi Visconti,Italy,58.8,SOUTHERN EUROPE
4138,1245788911,Start,Luigi Frari,Italy,58.8,SOUTHERN EUROPE
3747,1182731594,Start,Luigi Ossoinack,Hungary,9.6,EASTERN EUROPE
4198,1240419143,Stub,Luigi Pizzardi,Italy,58.8,SOUTHERN EUROPE
4159,1081453534,Start,Luigi Porro Lambertenghi,Italy,58.8,SOUTHERN EUROPE
4113,1245300122,C,"Luigi, Count Cibrario",Italy,58.8,SOUTHERN EUROPE
5902,1246360951,B,Luis A. Eguiguren,Peru,33.8,SOUTH AMERICA
2969,1230753198,Start,Luis A. Martínez,Ecuador,17.1,SOUTH AMERICA
2488,1212186504,C,Luis Alarcón de la Lastra,Spain,48.3,SOUTHERN EUROPE
2476,1232888485,Start,Luis Alberto Rodríguez López-Calleja,Cuba,11.0,CARIBBEAN
6848,1246000343,B,Luis Almagro,Uruguay,3.6,SOUTH AMERICA
2491,1212187829,Start,Luis Almarcha Hernández,Spain,48.3,SOUTHERN EUROPE
3531,1231590847,C,Luis Batres Juarros,Guatemala,18.1,CENTRAL AMERICA
373,1225793589,Stub,Luis Carlos Gómez Centurión,Argentina,46.3,SOUTH AMERICA
2117,1240167842,Stub,Luis Carlos Villegas Echeverri,Colombia,52.2,SOUTH AMERICA
4005,1033782785,Stub,Luis Caro Bandar,Iraq,45.5,WESTERN ASIA
5893,1246358892,Start,Luis Cáceres Velásquez,Peru,33.8,SOUTH AMERICA
2061,1245235873,Stub,Luis Eduardo Díaz Granados,Colombia,52.2,SOUTH AMERICA
5921,1246359746,Stub,Luis Felipe de Las Casas Grieve,Peru,33.8,SOUTH AMERICA
5464,1241795833,Start,Luis Fley,Nicaragua,6.8,CENTRAL AMERICA
3546,1241053119,Stub,Luis Francisco Ortega Menaldo,Guatemala,18.1,CENTRAL AMERICA
2527,1244697451,Start,"Luis Francisco de la Cerda, 9th Duke of Medinaceli",Spain,48.3,SOUTHERN EUROPE
2591,1245598382,Start,Luis Gabriel Portillo,Spain,48.3,SOUTHERN EUROPE
6906,1248971751,Stub,Luis Graterol Caraballo,Venezuela,28.8,SOUTH AMERICA
365,1234469779,C,Luis L. Domínguez,Argentina,46.3,SOUTH AMERICA
6864,946357029,Start,Luis Melián Lafinur,Uruguay,3.6,SOUTH AMERICA
2571,1164369400,Start,Luis Minguela,Spain,48.3,SOUTHERN EUROPE
2568,1243477890,C,Luis Méndez de Haro,Spain,48.3,SOUTHERN EUROPE
5928,1245418844,C,Luis Nava Guibert,Peru,33.8,SOUTH AMERICA
2000,1240166225,Stub,Luis Palacios Rossini,Chile,20.0,SOUTH AMERICA
2561,1156485593,Start,Luis Rosado Bretón,Spain,48.3,SOUTHERN EUROPE
2116,1245234958,Stub,Luis Villar Borda,Colombia,52.2,SOUTH AMERICA
2595,1231552001,Start,Luis de Requesens y Relat,Spain,48.3,SOUTHERN EUROPE
5305,1246357379,C,Lujo Vojnović,Montenegro,0.6,SOUTHERN EUROPE
2313,1241257381,GA,Luka Kirac,Croatia,3.8,SOUTHERN EUROPE
3794,1245818465,Stub,Lumbaram Choudhary,India,1428.6,SOUTH ASIA
5663,1243032430,Start,Luqman Oyebisi Ilaka,Nigeria,223.8,WESTERN AFRICA
665,1226230854,C,Lutfali bey Behbudov,Azerbaijan,10.2,WESTERN ASIA
5270,1249970172,GA,Luvsannamsrain Oyun-Erdene,Mongolia,3.5,EAST ASIA
5265,1247359859,Stub,Luvsannyamyn Gantömör,Mongolia,3.5,EAST ASIA
307,1240720719,Start,Luzia Inglês Van-Dúnem,Angola,36.7,MIDDLE AFRICA
2951,1244503818,Start,Luzmila Abad,Ecuador,17.1,SOUTH AMERICA
5965,1201440268,Stub,Luís Filipe Castro Mendes,Portugal,10.5,SOUTHERN EUROPE
1927,1213485215,Start,Luís Filipe Tavares,Cape Verde,0.6,WESTERN AFRICA
297,1242306989,Start,Luís Gomes Sambo,Angola,36.7,MIDDLE AFRICA
5982,1213930585,Start,Luís Marques Guedes,Portugal,10.5,SOUTHERN EUROPE
1582,1246449214,Start,Luís Viana Neto,Brazil,204.0,SOUTH AMERICA
5962,1145174894,Start,Luís de Almeida Braga,Portugal,10.5,SOUTHERN EUROPE
4988,1226300358,Stub,Ly Taher Dravé,Mali,23.3,WESTERN AFRICA
941,1237691839,Stub,Lyavon Barshchewski,Belarus,9.2,EASTERN EUROPE
5057,1231681393,Start,Lyndon Jackson,Federated States of Micronesia,0.1,OCEANIA
1632,1240500207,Stub,Lyudmila Petkova,Bulgaria,6.4,EASTERN EUROPE
3706,1226809980,C,László Endre,Hungary,9.6,EASTERN EUROPE
3723,1111996748,Stub,László Hunyady de Kéthely,Hungary,9.6,EASTERN EUROPE
3754,1180244988,Stub,László Sombori,Hungary,9.6,EASTERN EUROPE
3755,1218413935,Stub,László Szalay,Hungary,9.6,EASTERN EUROPE
360,1232135530,Stub,Lázaro Chiappe,Argentina,46.3,SOUTH AMERICA
1486,1182796131,Stub,Léo de Almeida Neves,Brazil,204.0,SOUTH AMERICA
2142,1242492711,Start,Léon Angor,Congo,6.1,MIDDLE AFRICA
2194,1237115839,C,Léon Kengo wa Dondo,Congo DR,102.3,MIDDLE AFRICA
6067,1176928408,Stub,Léopold Angrand,Senegal,18.3,WESTERN AFRICA
6093,1248475218,B,Léopold Sédar Senghor,Senegal,18.3,WESTERN AFRICA
6956,1226261855,Stub,Lê Minh Hương,Vietnam,98.9,SOUTHEAST ASIA
6957,1241039136,C,Lê Quốc Minh,Vietnam,98.9,SOUTHEAST ASIA
6958,1226261978,Stub,Lê Văn Thành,Vietnam,98.9,SOUTHEAST ASIA
6959,1247377913,Stub,Lương Thế Huy,Vietnam,98.9,SOUTHEAST ASIA
755,1242815841,Start,M Hossain Ali,Bangladesh,173.5,SOUTH ASIA
5327,1243831971,Stub,M'hamed Boucetta,Morocco,37.0,NORTHERN AFRICA
1713,1189278863,C,M. A. Gaffar,Myanmar,55.4,SOUTHEAST ASIA
779,1226325755,C,M. Anwar Hossain,Bangladesh,173.5,SOUTH ASIA
3889,1230951033,Stub,M. C. Shunmugaiah,India,1428.6,SOUTH ASIA
806,1242580877,C,M. M. Rahmatullah,Bangladesh,173.5,SOUTH ASIA
3778,1245825172,Stub,M. Mallesh Babu,India,1428.6,SOUTH ASIA
6458,1165316210,Stub,M. P. Jayasinghe,Sri Lanka,22.7,SOUTH ASIA
3824,1247449899,Start,M. V. Nikesh Kumar,India,1428.6,SOUTH ASIA
6477,1242818794,Start,M. V. P. Peiris,Sri Lanka,22.7,SOUTH ASIA
3825,1248190926,Stub,M.S. Tharanivendhan,India,1428.6,SOUTH ASIA
4057,1241586052,GA,Ma'ruf al-Rusafi,Iraq,45.5,WESTERN ASIA
6176,1246187297,Start,Mabel Malherbe,South Africa,60.7,SOUTHERN AFRICA
6354,1243896198,Start,Mabior Garang De-Mabior,South Sudan,11.1,EASTERN AFRICA
4653,1235702914,C,Machel Waikenda,Kenya,55.1,EASTERN AFRICA
317,1247632329,Stub,Mackenzie Frank,Antigua and Barbuda,0.1,CARIBBEAN
6359,930031820,Stub,Madang Majok,South Sudan,11.1,EASTERN AFRICA
3826,1232659961,Stub,Maddipati Venkata Raju,India,1428.6,SOUTH ASIA
3829,1246270275,Start,Madduluri Malakondaiah Yadav,India,1428.6,SOUTH ASIA
1917,1225866384,Start,Madeleine Tchuente,Cameroon,28.1,MIDDLE AFRICA
3265,1245655403,Stub,Madeleine de Grandmaison,France,65.9,WESTERN EUROPE
3895,1249868085,Start,Madhvendra Pratap Singh,India,1428.6,SOUTH ASIA
4334,1191535758,Start,Maeda Gen'i,Japan,124.5,EAST ASIA
4189,1240551123,Start,Maffeo Pantaleoni,Italy,58.8,SOUTHERN EUROPE
835,1243860644,Start,Mafiz Ali Chowdhury,Pakistan,240.5,SOUTH ASIA
2650,1235907399,Stub,Magda Košútová,Slovakia,5.4,EASTERN EUROPE
4820,1158512735,Stub,Maggy Nagel,Luxembourg,0.7,WESTERN EUROPE
3194,1242948023,C,Magnus Minniskiöld,Sweden,10.5,NORTHERN EUROPE
5214,1250126212,Start,Magomed Omarov (politician),Russia,146.9,EASTERN EUROPE
5746,1241251598,Start,Mahad Said Baawain,Oman,5.0,WESTERN ASIA
2930,1161081271,Stub,Mahadi Sinambela,Indonesia,278.7,SOUTHEAST ASIA
4989,1177650454,Stub,Mahamane Haidara,Mali,23.3,WESTERN AFRICA
5200,1246567550,GA,Mahammadtaghi Aliyev,Russia,146.9,EASTERN EUROPE
2679,1242620013,Stub,Mahamoud Moustapha Daher,Djibouti,1.1,EASTERN AFRICA
4852,1185914772,Stub,Mahasumpo Raveloson,Madagascar,30.4,EASTERN AFRICA
33,1243745950,Stub,Mahboba Hoqomal,Afghanistan,42.4,SOUTH ASIA
3927,1239784337,Start,Mahdi Asgari,Iran,89.2,SOUTH ASIA
5411,1240109611,Stub,Mahendra Bahadur Bista,Nepal,30.9,SOUTH ASIA
3817,1237816427,Stub,Mahesh Kashyap,India,1428.6,SOUTH ASIA
5309,1244052254,Start,Mahjoubi Aherdane,Morocco,37.0,NORTHERN AFRICA
4496,1177322940,Start,Mahmadali Hayit,Tajikistan,10.2,CENTRAL ASIA
712,1161492589,Stub,Mahmood Al Bahrani,Bahrain,1.6,WESTERN ASIA
3001,1183781331,Start,Mahmoud Ahmad Ibiary,Egypt,105.2,NORTHERN AFRICA
471,1230265066,Stub,Mahmoud Ahmad Marei,Syria,23.2,WESTERN ASIA
1958,1231975933,Start,Mahmoud Ali Seid,Chad,18.3,MIDDLE AFRICA
3600,1179963758,Start,Mahmoud Bah,Guinea,14.2,WESTERN AFRICA
6663,1121659355,C,Mahmoud Ben Ayed,Tunisia,11.9,NORTHERN AFRICA
6677,1231151585,Start,Mahmoud Djellouli,Tunisia,11.9,NORTHERN AFRICA
3002,1164899761,Stub,Mahmoud Esmat,Egypt,105.2,NORTHERN AFRICA
4412,1245164378,Stub,Mahmoud Hanandeh,Jordan,11.4,WESTERN ASIA
2676,1244367159,C,Mahmoud Harbi,Djibouti,1.1,EASTERN AFRICA
6706,1174232532,B,Mahmud Qabadu,Tunisia,11.9,NORTHERN AFRICA
3931,1236346239,C,Mahmudali Chehregani,Iran,89.2,SOUTH ASIA
809,1245374725,Stub,Mahmudul Haque Sayem,Bangladesh,173.5,SOUTH ASIA
3350,1151066074,Stub,Mai Fatty,Gambia,2.8,WESTERN AFRICA
729,1217876419,Start,Mai bint Mohammed Al Khalifa,Bahrain,1.6,WESTERN ASIA
0,1233202991,Start,Majah Ha Adrif,Afghanistan,42.4,SOUTH ASIA
5787,1176162219,C,Majdi Khaldi,Palestinian Territory,5.5,WESTERN ASIA
5791,1245493417,Start,Majdi al-Saleh,Palestinian Territory,5.5,WESTERN ASIA
3975,1228961030,Start,Majid Naseri Nejad,Iran,89.2,SOUTH ASIA
4047,1219358100,Stub,Majid al-Nasrawi,Iraq,45.5,WESTERN ASIA
668,1248225337,Start,Majnun Mammadov,Azerbaijan,10.2,WESTERN ASIA
667,1243510539,Start,Makhmud Mamed-Guliev,Azerbaijan,10.2,WESTERN ASIA
6165,1247585467,C,Makhosi Khoza,South Africa,60.7,SOUTHERN AFRICA
6077,1243625708,C,Makhtar Diop,Senegal,18.3,WESTERN AFRICA
4308,1195002566,Start,Makoto Hirayama,Japan,124.5,EAST ASIA
4321,1195321944,Stub,Makoto Katamine,Japan,124.5,EAST ASIA
4500,1250091255,Start,Maksud Ibragimov,Tajikistan,10.2,CENTRAL ASIA
1161,1217070573,Stub,Maksymilian Jackowski,Poland,37.7,EASTERN EUROPE
3796,1246672381,Stub,Malaiyarasan D,India,1428.6,SOUTH ASIA
5748,1249356132,Stub,Malek Bin Sulaiman Al Ma'amari,Oman,5.0,WESTERN ASIA
5489,1225494111,Start,Malik Ado-Ibrahim,Nigeria,223.8,WESTERN AFRICA
856,1233679331,Start,Malik Allahyar Khan,Pakistan,240.5,SOUTH ASIA
3816,1241560614,Stub,Malwinder Singh Kang,India,1428.6,SOUTH ASIA
4915,1240270368,Start,Mamad Puteh,Malaysia,33.4,SOUTHEAST ASIA
6087,1180233069,Stub,Mamadou Bamba Ndiaye,Senegal,18.3,WESTERN AFRICA
3601,1241621063,Start,Mamadou Boye Bah,Guinea,14.2,WESTERN AFRICA
4986,1230163595,Stub,Mamadou Djigué,Mali,23.3,WESTERN AFRICA
4992,1247055409,Stub,Mamadou Konaté,Mali,23.3,WESTERN AFRICA
4995,1177650569,Stub,Mamadou M'Bodje,Mali,23.3,WESTERN AFRICA
1698,1186807529,Stub,Mamadou Ouédraogo,Burkina Faso,22.9,WESTERN AFRICA
3612,1243645294,Stub,Mamadou Pathé Diallo,Guinea,14.2,WESTERN AFRICA
3625,1186381012,Stub,Mamba Sano,Guinea,14.2,WESTERN AFRICA
2995,1245969900,B,Mamdouh Habib,Egypt,105.2,NORTHERN AFRICA
654,1244201378,Start,Mamed Iskenderov,Azerbaijan,10.2,WESTERN ASIA
3804,1232660773,Stub,Mamidi Govinda Rao,India,1428.6,SOUTH ASIA
640,1237445893,Start,Mammad Gurbanov,Azerbaijan,10.2,WESTERN ASIA
686,1185599926,C,Mammad agha Shahtakhtinski,Azerbaijan,10.2,WESTERN ASIA
5677,1227339915,C,Mamman Shata,Nigeria,223.8,WESTERN AFRICA
6776,1138728249,Stub,Mammetmyrat Geldinyyazov,Turkmenistan,7.1,CENTRAL ASIA
4844,1241434004,Stub,Mamy Ranaivoniarivo,Madagascar,30.4,EASTERN AFRICA
5394,1015106908,C,Manasse ǃNoreseb,Namibia,2.6,SOUTHERN AFRICA
5588,1238159613,Stub,Manasseh Daniel Jatau,Nigeria,223.8,WESTERN AFRICA
6357,1217520697,Stub,Manasseh Magok,South Sudan,11.1,EASTERN AFRICA
6036,1235371819,Start,Manasseh Nshuti,Rwanda,14.1,EASTERN AFRICA
3831,1245717814,Stub,Mandipalli Ramprasad Reddy,India,1428.6,SOUTH ASIA
6202,1146001817,C,Mandla Nkomfe,South Africa,60.7,SOUTHERN AFRICA
4167,1240578936,Stub,Manfredo Manfredi,Italy,58.8,SOUTHERN EUROPE
791,1117752666,Stub,Manik Lal Ray,Bangladesh,173.5,SOUTH ASIA
3811,1240428350,Start,Manish Jaiswal,India,1428.6,SOUTH ASIA
3886,1232659274,Stub,Manju Sharma (politician),India,1428.6,SOUTH ASIA
792,1245961260,Stub,Manjurul Imam,Bangladesh,173.5,SOUTH ASIA
3832,1238076710,Stub,Manna Lal Rawat,India,1428.6,SOUTH ASIA
5722,1241601548,Start,Mano Dayak,Niger,27.2,WESTERN AFRICA
1274,1243531072,Stub,Manuel Abramowicz,Belgium,11.8,WESTERN EUROPE
2018,1246583701,Stub,Manuel Antonio Tocornal,Chile,20.0,SOUTH AMERICA
5966,1242284023,Start,"Manuel Antônio Ribeiro de Castro, Baron of Santa Rita",Portugal,10.5,SOUTHERN EUROPE
303,1233607984,Stub,Manuel Bernardo de Sousa,Angola,36.7,MIDDLE AFRICA
2838,1209003568,Start,Manuel Carrascalão,Indonesia,278.7,SOUTHEAST ASIA
2445,1232266957,Start,Manuel Cidre,Cuba,11.0,CARIBBEAN
5901,1225786332,Stub,Manuel Cipriano Dulanto,Peru,33.8,SOUTH AMERICA
2450,1234507221,C,Manuel Dorta-Duque,Cuba,11.0,CARIBBEAN
6933,1208177120,Start,Manuel Felipe Rugeles,Venezuela,28.8,SOUTH AMERICA
3564,1239189530,GA,Manuel Flores (Salvadoran politician),El Salvador,6.4,CENTRAL AMERICA
3547,1235527107,C,Manuel Francisco Pavón Aycinena,Guatemala,18.1,CENTRAL AMERICA
5980,1143138636,C,Manuel Frasquilho,Portugal,10.5,SOUTHERN EUROPE
1503,1241496689,Start,"Manuel Jacinto Nogueira da Gama, Marquis of Baependi",Brazil,204.0,SOUTH AMERICA
2557,1245719803,Stub,Manuel Jiménez de Parga,Spain,48.3,SOUTHERN EUROPE
2498,1234633595,C,Manuel Joaquín Álvarez de Toledo,Spain,48.3,SOUTHERN EUROPE
2049,1145659050,,Manuel José Bonnet,Colombia,52.2,SOUTH AMERICA
371,1227616001,Stub,Manuel José García,Argentina,46.3,SOUTH AMERICA
1429,1227718125,Stub,Manuel Luis de Oliden,Bolivia,12.2,SOUTH AMERICA
1545,1249279029,C,"Manuel Luís Osório, Marquis of Erval",Brazil,204.0,SOUTH AMERICA
2831,1195585917,Stub,Manuel Magalhaes de Oliveira,Timor Leste,1.4,SOUTHEAST ASIA
5996,1227271357,Start,Manuel Magno,Portugal,10.5,SOUTHERN EUROPE
4170,1225503688,Stub,Manuel Marliani,Italy,58.8,SOUTHERN EUROPE
2463,1232587321,Start,Manuel Marrero Cruz,Cuba,11.0,CARIBBEAN
5998,1013841485,Start,Manuel Martins Manso,Portugal,10.5,SOUTHERN EUROPE
2100,1216456187,Start,Manuel María Ramírez Fortoul,Colombia,52.2,SOUTH AMERICA
2269,1221588507,Start,Manuel María de Peralta y Alfaro,Costa Rica,5.3,CENTRAL AMERICA
2271,1221588551,Stub,Manuel María de Peralta y López del Corral,Costa Rica,5.3,CENTRAL AMERICA
6000,1017040116,Stub,Manuel Monge (military figure),Portugal,10.5,SOUTHERN EUROPE
276,1209411144,Stub,Manuel Neto da Costa,Angola,36.7,MIDDLE AFRICA
5840,1245953059,FA,Manuel Noriega,Panama,4.5,CENTRAL AMERICA
3038,1248100684,C,Manuel Osa Nsue Nsua,Equatorial Guinea,1.7,MIDDLE AFRICA
1997,1197442605,Start,Manuel Ossa Ruiz,Chile,20.0,SOUTH AMERICA
2590,1242934173,Start,Manuel Pizarro Moreno,Spain,48.3,SOUTHERN EUROPE
6018,1241968420,Stub,Manuel Sérgio,Portugal,10.5,SOUTHERN EUROPE
277,1209411217,Stub,Manuel Tavares de Almeida,Angola,36.7,MIDDLE AFRICA
5942,1245682396,C,Manuel Tovar y Chamorro,Peru,33.8,SOUTH AMERICA
308,1241493910,C,Manuel Vicente,Angola,36.7,MIDDLE AFRICA
3552,1220669085,Start,Manuel Villacorta,Guatemala,18.1,CENTRAL AMERICA
2506,1222718418,Stub,Manuel de Aróstegui Sáenz de Olamendi,Spain,48.3,SOUTHERN EUROPE
1426,1234177241,C,Manuel de Molina Zamudio,Bolivia,12.2,SOUTH AMERICA
3642,1242176652,Start,Manzoor Nadir,Guyana,0.8,SOUTH AMERICA
1809,1171497670,C,Mao Ayuth,Cambodia,17.0,SOUTHEAST ASIA
4739,1135268318,Stub,Maphoka Motoboli,Lesotho,2.3,SOUTHERN AFRICA
2547,1246159813,C,Mar Garcia,Spain,48.3,SOUTHERN EUROPE
469,1210271884,Start,Mar'i Pasha al-Mallah,Syria,23.2,WESTERN ASIA
1735,1239820808,Start,Maran Brang Seng,Myanmar,55.4,SOUTHEAST ASIA
5142,1232341984,C,Marat Baglai,Russia,146.9,EASTERN EUROPE
4449,1243510011,Start,Marat Beketaev,Kazakhstan,19.9,CENTRAL ASIA
4466,1221862976,C,Marat Sarsembaev,Kazakhstan,19.9,CENTRAL ASIA
1297,1054937431,Start,Marc Drumaux,Belgium,11.8,WESTERN EUROPE
4811,1185355523,Stub,Marc Hansen (politician),Luxembourg,0.7,WESTERN EUROPE
3316,1243149451,Start,Marc Perrin de Brichambaut,France,65.9,WESTERN EUROPE
5725,1231186682,Start,Marcel Inné,Niger,27.2,WESTERN AFRICA
2968,1244463510,C,Marcel Jacobo Laniado de Wind,Ecuador,17.1,SOUTH AMERICA
3317,1238343251,C,Marcel Petiot,France,65.9,WESTERN EUROPE
4846,1190559062,Stub,Marcel Ranjeva,Madagascar,30.4,EASTERN AFRICA
1343,1136613172,Stub,Marcel Van Langenhove (referee),Belgium,11.8,WESTERN EUROPE
4281,1171961445,Start,Marcel Zadi Kessy,Cote d'Ivoire,30.9,WESTERN AFRICA
1287,1221734112,C,Marcel de Baer,Belgium,11.8,WESTERN EUROPE
1273,1152623125,Stub,Marceli Żółtowski,Poland,37.7,EASTERN EUROPE
2570,1245487601,C,Marcelino Menéndez y Pelayo,Spain,48.3,SOUTHERN EUROPE
5381,1246373256,C,Marcelino dos Santos,Mozambique,33.9,EASTERN AFRICA
1497,1226004242,Stub,Marcelo Cecé,Brazil,204.0,SOUTH AMERICA
1420,1219316021,Stub,Marcelo Elío,Bolivia,12.2,SOUTH AMERICA
389,1242262794,Start,Marcelo Muniagurria,Argentina,46.3,SOUTH AMERICA
5884,1246361663,Stub,Marcial Ayaipoma,Peru,33.8,SOUTH AMERICA
1421,1064844718,Start,Marcial Fabricano,Bolivia,12.2,SOUTH AMERICA
